# From https://www.aanda.org/articles/aa/full_html/2014/12/aa24373-14/aa24373-14.html
#BJDTT – 2450000.0 	RV (km s-1) 	σRV (km s-1)
4993.46558 	9.788340 	0.000980
4998.46541 	9.779650 	0.001320
4999.45630 	9.807500 	0.001230
5272.70295 	9.780040 	0.001110
5275.70795 	9.773080 	0.001320
5277.71133 	9.789610 	0.001260
5278.70343 	9.779770 	0.001690
5279.68465 	9.807250 	0.001170
5280.70084 	9.777020 	0.001190
5283.67801 	9.775340 	0.000980
5287.65616 	9.811220 	0.001080
5292.65024 	9.812290 	0.002210 
